feature,day,wide_loss_n,tight_n,wide_win_n,wide_loss_median,tight_median,wide_win_median,wide_loss_mean,tight_mean,cliffs_delta,overlap,permutation_p,losses_outside_envelope,losses_outside_fraction
cash_lead,20,23,40,4,-294.0,0.0,848.0,-1214.391304347826,-0.6,-0.4358695652173913,0.05845700691061516,0.2433783108445777,16,0.6956521739130435
price_EGG,10,23,40,4,52.0,51.0,52.5,52.21739130434783,51.625,0.375,1.0,0.05247376311844078,1,0.043478260869565216
price_EGG,15,23,40,4,55.0,51.0,55.0,53.91304347826087,52.9,0.30434782608695654,0.6363636363636364,0.12443778110944528,2,0.08695652173913043
stock_units,20,23,40,4,76.0,76.0,71.0,76.82608695652173,74.075,0.26304347826086955,0.10204081632653061,0.01649175412293853,1,0.043478260869565216
price_TOMATO,15,23,40,4,70.0,65.0,62.0,68.56521739130434,66.525,0.2532608695652174,1.0,0.10194902548725637,4,0.17391304347826086
cash,20,23,40,4,44778.0,50205.0,52516.5,46553.30434782609,51046.7,-0.25217391304347825,0.7099387310333484,0.10394802598700649,3,0.13043478260869565
price_WOOL,15,23,40,4,1.0,76.0,241.0,56.21739130434783,106.6,-0.24782608695652175,0.9876543209876543,0.06896551724137931,1,0.043478260869565216
price_TOMATO,20,23,40,4,76.0,70.0,63.0,75.3913043478261,71.95,0.24456521739130435,1.0,0.13043478260869565,3,0.13043478260869565
delta_cash,20,23,40,4,3651.0,4067.5,4072.5,3735.217391304348,4287.875,-0.24130434782608695,0.7788736420811893,0.17491254372813594,4,0.17391304347826086
delta_cash,5,23,40,4,405.0,405.0,405.0,391.95652173913044,406.725,-0.24021739130434783,0.015822784810126583,0.015992003998001,4,0.17391304347826086
price_TOMATO,10,23,40,4,64.0,61.5,61.0,63.78260869565217,62.975,0.22717391304347825,0.75,0.20239880059970014,3,0.13043478260869565
opponent_cash,10,23,40,4,2168.0,2386.5,2091.0,2145.913043478261,2344.725,-0.2184782608695652,0.3671824629271438,0.11444277861069466,7,0.30434782608695654
pasture,15,23,40,4,14.0,14.0,18.0,14.043478260869565,14.75,-0.2184782608695652,0.5,0.037481259370314844,1,0.043478260869565216
herd_SHEEP,10,23,40,4,5.0,5.0,7.0,4.956521739130435,5.5,-0.21630434782608696,0.2857142857142857,0.029985007496251874,1,0.043478260869565216
units_in,15,23,40,4,13.0,13.0,17.0,12.869565217391305,13.925,-0.21630434782608696,0.3333333333333333,0.03398300849575212,1,0.043478260869565216
herd_SHEEP,15,23,40,4,6.0,6.0,11.0,6.086956521739131,7.125,-0.21521739130434783,0.5555555555555556,0.038980509745127435,1,0.043478260869565216
herd_SHEEP,20,23,40,4,6.0,6.0,11.0,6.086956521739131,7.125,-0.21521739130434783,0.5555555555555556,0.038980509745127435,1,0.043478260869565216
pasture,20,23,40,4,14.0,14.0,17.0,14.043478260869565,14.675,-0.21521739130434783,0.6,0.04247876061969016,1,0.043478260869565216
price_EGG,5,23,40,4,50.0,50.0,50.5,50.43478260869565,50.225,0.20978260869565218,1.0,0.08895552223888056,0,0.0
price_CARROT,10,23,40,4,36.0,37.0,36.0,37.26086956521739,38.15,-0.19782608695652174,0.7,0.18590704647676162,2,0.08695652173913043
price_STRAWBERRY,10,23,40,4,173.0,181.0,167.5,173.91304347826087,178.0,-0.1967391304347826,1.0,0.34632683658170915,0,0.0
